n,pmid,id,source,doi_publication,title,authorString,journalTitle,pubYear,journalIssn,pubType,isOpenAccess,inEPMC,inPMC,hasPDF,hasBook,hasSuppl,citedByCount,hasReferences,hasTextMinedTerms,hasDbCrossReferences,hasLabsLinks,hasTMAccessionNumbers,firstIndexDate,firstPublicationDate,issue,journalVolume,pageInfo,pmcid,pmcid_,pmcid_pmc,pmcid_uid,doi.y,filename,is_relevant_data,is_relevant_code,article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements,is_success,true_open_data,doi_open_data,study_type,dataset_type,Notes,FAIR_level,FAIRness,Findability,Accesibility,Interoperability,Reusability,Findability_level,Accesibility_level,Interoperability_level,Reusability_level,FsF_F1_01D,FsF_F1_02D,FsF_F2_01M,FsF_F3_01M,FsF_F4_01M,FsF_A1_01M,FsF_A1_03D,FsF_A1_02M,FsF_I1_01M,FsF_I1_02M,FsF_I3_01M,FsF_R1_01MD,FsF_R1.1_01M,FsF_R1.2_01M,FsF_R1.3_01M,FsF_R1.3_02D
1,26595828,26595828,MED,10.4317/medoral.20183,Relation between diagnosis of atheromatous plaque from orthopantomographs and cardiovascular risk factors. A study of cases and control subjects.,"Barona-Dorado C, Gutierrez-Bonet C, Leco-Berrocal I, Fernández-Cáliz F, Martínez-González JM.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,research-article; journal article; observational study,Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2015-11-25,2016-01-01,1,21,e66-71,PMC4765754,4765754,,4765754,10.4317/medoral.20183,PMC 4765754.xml,TRUE,TRUE,10.4317/medoral.20183,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26595830,26595830,MED,10.4317/medoral.20570,Expression of NF-<U+03BA>B and IL-6 in oral precancerous and cancerous lesions: An immunohistochemical study.,"Kamperos G, Nikitakis N, Sfakianou A, Avgoustidis D, Sklavounou-Andrikopoulou A.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,5,Y,Y,N,N,N,2015-11-25,2016-01-01,1,21,e6-13,PMC4765752,4765752,,4765752,10.4317/medoral.20570,PMC 4765752.xml,TRUE,TRUE,10.4317/medoral.20570,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26595831,26595831,MED,10.4317/medoral.20638,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,"Chatzopoulos GS, Doufexi AE, Kalogirou F.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,meta-analysis; systematic review; review-article; review; journal article,Y,Y,N,Y,N,N,3,Y,Y,N,N,N,2015-11-25,2016-01-01,1,21,e14-29,PMC4765745,4765745,,4765745,10.4317/medoral.20638,PMC 4765745.xml,TRUE,TRUE,10.4317/medoral.20638,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26595832,26595832,MED,10.4317/medoral.20736,Multidisciplinary management of ankyloglossia in childhood. Treatment of 101 cases. A protocol.,"Ferrés-Amat E, Pastor-Vera T, Ferrés-Amat E, Mareque-Bueno J, Prats-Armengol J, Ferrés-Padró E.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,8,Y,Y,N,Y,N,2015-11-25,2016-01-01,1,21,e39-47,PMC4765751,4765751,,4765751,10.4317/medoral.20736,PMC 4765751.xml,TRUE,TRUE,10.4317/medoral.20736,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26595833,26595833,MED,10.4317/medoral.20818,The isolated orbital floor fracture from a transconjunctival or subciliary perspective-A standardized anthropometric evaluation.,"Raschke G, Djedovic G, Peisker A, Wohlrath R, Rieger U, Guentsch A, Gomez-Dammeier M, Schultze-Mosgau S.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,N,N,2015-11-25,2016-01-01,1,21,e111-7,PMC4765746,4765746,,4765746,10.4317/medoral.20818,PMC 4765746.xml,TRUE,FALSE,10.4317/medoral.20818,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26595835,26595835,MED,10.4317/medoral.20904,Melatonin enhances vertical bone augmentation in rat calvaria secluded spaces.,"Shino H, Hasuike A, Arai Y, Honda M, Isokawa K, Sato S.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,5,Y,Y,N,Y,N,2015-11-25,2016-01-01,1,21,e122-6,PMC4765744,4765744,,4765744,10.4317/medoral.20904,PMC 4765744.xml,TRUE,TRUE,10.4317/medoral.20904,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26595836,26595836,MED,10.4317/medoral.21043,Surgical treatment of localized gingival recessions using coronally advanced flaps with or without subepithelial connective tissue graft.,"Bellver-Fernández R, Martínez-Rodriguez AM, Gioia-Palavecino C, Caffesse RG, Peñarrocha M.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,N,N,2015-11-25,2016-03-01,2,21,e222-8,PMC4788803,4788803,,4788803,10.4317/medoral.21043,PMC 4788803.xml,TRUE,FALSE,10.4317/medoral.21043,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,26595837,26595837,MED,10.4317/medoral.21046,Photodynamic therapy in the treatment of aggressive periodontitis: A systematic review.,"Chatzopoulos GS, Doufexi AE.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,review-article; journal article,Y,Y,N,Y,N,N,4,Y,Y,N,Y,N,2015-11-25,2016-03-01,2,21,e192-200,PMC4788799,4788799,,4788799,10.4317/medoral.21046,PMC 4788799.xml,TRUE,FALSE,10.4317/medoral.21046,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26615501,26615501,MED,10.4317/medoral.20593,TlR expression profile of human gingival margin-derived stem progenitor cells.,"Fawzy-El-Sayed K, Mekhemar M, Adam-Klages S, Kabelitz D, Dörfer C.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,14,Y,Y,N,N,N,2015-11-30,2016-01-01,1,21,e30-8,PMC4765758,4765758,,4765758,10.4317/medoral.20593,PMC 4765758.xml,TRUE,TRUE,10.4317/medoral.20593,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,26615502,26615502,MED,10.4317/medoral.20669,Survey of Spanish dentists on the prescription of antibiotics and antiseptics in surgery for impacted lower third molars.,"Arteagoitia MI, Ramos E, Santamaría G, Álvarez J, Barbier L, Santamaría J.",Med Oral Patol Oral Cir Bucal,2016,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,2,Y,Y,N,Y,N,2015-11-30,2016-01-01,1,21,e82-7,PMC4765760,4765760,,4765760,10.4317/medoral.20669,PMC 4765760.xml,TRUE,FALSE,10.4317/medoral.20669,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
